0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:57 +0300] "GET /kursach/jakarta.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:58 +0300] "GET /kursach/jakarta.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89196
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:58 +0300] "GET /kursach/jakarta.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 9961
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:58 +0300] "GET /kursach/jakarta.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:58 +0300] "GET /kursach/jakarta.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 30217
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/office.xhtml HTTP/1.1" 200 40908
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/jakarta.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 200 5819
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/jakarta.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/jakarta.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/jakarta.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/jakarta.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11205
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/jakarta.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108062
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/jakarta.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 9961
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/jakarta.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89196
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/jakarta.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:14 +0300] "GET /kursach/jakarta.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 30217
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:19 +0300] "GET /kursach/office-edit.xhtml HTTP/1.1" 200 20835
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 200 5819
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11205
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108062
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89196
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/inputmask/inputmask.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 100038
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/datepicker/datepicker.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 59831
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:20 +0300] "GET /kursach/jakarta.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 30217
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:24 +0300] "GET /kursach/office.xhtml HTTP/1.1" 200 40908
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:24 +0300] "GET /kursach/jakarta.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 200 5819
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:24 +0300] "GET /kursach/jakarta.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:24 +0300] "GET /kursach/jakarta.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:24 +0300] "GET /kursach/jakarta.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11205
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:24 +0300] "GET /kursach/jakarta.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:24 +0300] "GET /kursach/jakarta.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108062
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:24 +0300] "GET /kursach/jakarta.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89196
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:24 +0300] "GET /kursach/jakarta.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 9961
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:49:24 +0300] "GET /kursach/jakarta.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
